"Car.CamberFL","Car.CamberFR","Car.SideSlipAngle","Car.SlipAngleFL","Car.SlipAngleFR","Car.YawRate","Car.ay","Driver.Steer.Ang","Driver.Steer.Trq","Time"
"C1","C1","C1","C1","C1","C1","C1","C1","C1","C1"
"rad","rad","rad","rad","rad","rad/s","m/s^2","rad","Nm","s"
-0.1785821915,-0.1767945588,0,-3.947944606e-006,-3.994949566e-006,-3.344899142e-006,0.001077941386,-8.968770415e-014,0.1062463894,0.421
-0.178586185,-0.1767909527,0,-4.620378604e-006,-4.687322871e-006,-5.014019735e-006,0.001192595926,-1.020353303e-013,0.1071073338,0.431
-0.1785902977,-0.1767872721,0,-5.264567335e-006,-5.356540441e-006,-6.800016763e-006,0.001305061858,-1.1969222e-013,0.1079444513,0.441
-0.1785944849,-0.1767835915,0,-5.868751941e-006,-5.990923455e-006,-8.62779234e-006,0.001412946149,-1.440177188e-013,0.1087473556,0.451
-0.1785986871,-0.1767799258,0,-6.423830655e-006,-6.581307389e-006,-1.043010798e-005,0.001514486037,-1.762905956e-013,0.1095078066,0.461
-0.1786028594,-0.1767763495,0,-6.92309959e-006,-7.120723239e-006,-1.215111115e-005,0.001608412713,-2.177057363e-013,0.1102197692,0.471
-0.1786069572,-0.1767728925,0,-7.361936696e-006,-7.604059647e-006,-1.374775547e-005,0.001693833154,-2.693884883e-013,0.1108791158,0.481
-0.1786109656,-0.1767695695,0,-7.737467968e-006,-8.027741387e-006,-1.518958561e-005,0.001770125469,-3.324174161e-013,0.1114834175,0.491
-0.1786148399,-0.1767664105,0,-8.048246855e-006,-8.389453797e-006,-1.645741395e-005,0.001836851821,-4.078481801e-013,0.1120317578,0.501
-0.1786185801,-0.1767634153,0,-8.293967767e-006,-8.687910849e-006,-1.754137702e-005,0.001893692766,-4.967328632e-013,0.112524569,0.511
-0.1786221862,-0.1767605841,0,-8.47523188e-006,-8.922679626e-006,-1.843875361e-005,0.001940402435,-6.001308391e-013,0.1129633859,0.521
-0.1786256135,-0.1767579168,0,-8.593351595e-006,-9.094054803e-006,-1.915183384e-005,0.001976782456,-7.191088545e-013,0.1133506894,0.531
-0.1786289066,-0.1767553985,0,-8.650213204e-006,-9.202964065e-006,-1.968600918e-005,0.002002673224,-8.54729048e-013,0.1136897281,0.541
-0.1786320359,-0.1767530292,0,-8.648165931e-006,-9.250914445e-006,-2.00481918e-005,0.002017956926,-1.008024935e-012,0.1139843091,0.551
-0.178635031,-0.1767507941,0,-8.589894605e-006,-9.239901374e-006,-2.024586865e-005,0.002019997453,-1.179966173e-012,0.1142386869,0.561
-0.1786379069,-0.1767486632,0,-8.477986739e-006,-9.17201578e-006,-2.028656309e-005,0.002011637669,-1.371396378e-012,0.1144570559,0.571
-0.1786406487,-0.1767466068,0,-8.31539819e-006,-9.049813343e-006,-2.017562656e-005,0.001992755802,-1.582925306e-012,0.1146428287,0.581
-0.1786433011,-0.176744625,0,-8.10543861e-006,-8.876355423e-006,-1.991761019e-005,0.001963449409,-1.814891553e-012,0.1147998795,0.591
-0.1786458492,-0.1767426878,0,-7.851680493e-006,-8.655122656e-006,-1.951615377e-005,0.001923990785,-2.067345644e-012,0.1149325669,0.601
-0.1786483526,-0.1767407805,0,-7.557904155e-006,-8.389936738e-006,-1.897411676e-005,0.001874768757,-2.340025743e-012,0.1150453761,0.611
-0.1786507815,-0.1767388582,0,-7.228047252e-006,-8.08488403e-006,-1.829394387e-005,0.001816272037,-2.632339442e-012,0.1151426509,0.621
-0.1786531955,-0.176736936,0,-6.86614294e-006,-7.744226423e-006,-1.747810893e-005,0.001749083516,-2.943356279e-012,0.1152285561,0.631
-0.1786555797,-0.176734969,0,-6.476261206e-006,-7.372319942e-006,-1.652958417e-005,0.001673874445,-3.271813376e-012,0.1153069362,0.641
-0.1786579788,-0.1767329425,0,-6.062446118e-006,-6.97352516e-006,-1.545225859e-005,0.001591393375,-3.616136036e-012,0.1153813303,0.651
-0.1786603779,-0.1767308414,0,-5.628651252e-006,-6.552123523e-006,-1.425130449e-005,0.001502449857,-3.974470926e-012,0.1154549122,0.661
-0.1786628217,-0.1767286658,0,-5.178673291e-006,-6.11223777e-006,-1.293343394e-005,0.001407893375,-4.344732473e-012,0.1155304685,0.671
-0.1786653101,-0.176726386,0,-4.716095191e-006,-5.657761449e-006,-1.150705339e-005,0.001308592386,-4.724655996e-012,0.1156103685,0.681
-0.1786678433,-0.1767240018,0,-4.244233878e-006,-5.192299341e-006,-9.982285519e-006,0.001205411623,-5.111857986e-012,0.1156965494,0.691
-0.178670451,-0.1767215133,0,-3.766098416e-006,-4.719122899e-006,-8.370874639e-006,0.001099191606,-5.503892914e-012,0.1157905012,0.701
-0.1786731184,-0.1767189056,0,-3.284359536e-006,-4.241137958e-006,-6.685984317e-006,0.000990729779,-5.898312654e-012,0.1158932894,0.711
-0.1786758751,-0.1767161787,0,-2.801331675e-006,-3.760865866e-006,-4.941899533e-006,0.0008807659615,-6.292714613e-012,0.1160055548,0.721
-0.1786787063,-0.1767133474,0,-2.318965926e-006,-3.280440296e-006,-3.153674015e-006,0.0007699702401,-6.684786405e-012,0.1161275432,0.731
-0.178681612,-0.176710397,0,-1.838856292e-006,-2.801613618e-006,-1.336752575e-006,0.0006589367986,-7.072337507e-012,0.116259113,0.741
-0.1786845922,-0.1767073423,0,-1.362253442e-006,-2.325775995e-006,4.933710329e-007,0.000548187294,-7.453325283e-012,0.1163997874,0.751
-0.178687647,-0.1767041832,0,-8.900897228e-007,-1.853980507e-006,2.321368584e-006,0.000438166433,-7.825867558e-012,0.1165487841,0.761
-0.1786907762,-0.1767009348,0,-4.230132333e-007,-1.386976919e-006,4.133507446e-006,0.0003290066961,-8.188256496e-012,0.11670506,0.771
-0.17869398,-0.1766976118,0,3.857577013e-008,-9.252503332e-007,5.918119314e-006,0.0002213420084,-8.538965542e-012,0.1168673337,0.781
-0.1786972284,-0.1766942143,0,4.945461569e-007,-4.690110131e-007,7.662231837e-006,0.0001119357185,-8.876658089e-012,0.1170344576,0.791
-0.1787005216,-0.1766907722,0,9.450961898e-007,-1.811982031e-008,9.353743735e-006,6.368521099e-006,-9.200145853e-012,0.1172041595,0.801
-0.1787038594,-0.1766872704,0,1.390023613e-006,4.27227917e-007,1.098868779e-005,-0.0001265043684,-9.508351571e-012,0.1173743233,0.811
-0.178707242,-0.1766837239,0,1.824100764e-006,8.616893865e-007,1.256491305e-005,-0.0001993731566,-9.800520638e-012,0.1175508201,0.821
-0.1787106991,-0.1766801178,0,2.240200502e-006,1.277922138e-006,1.406020147e-005,-0.0002690225956,-1.007666953e-011,0.117749095,0.831
-0.1787142456,-0.1766764224,0,2.632155429e-006,1.669775997e-006,1.545271152e-005,-0.0003338971292,-1.033727357e-011,0.1179797724,0.841
-0.1787179112,-0.1766726226,0,2.994487204e-006,2.031740678e-006,1.67188482e-005,-0.000393198774,-1.05829321e-011,0.118247807,0.851
-0.1787216961,-0.1766687036,0,3.322371185e-006,2.35889047e-006,1.783316475e-005,-0.0004462444922,-1.081421497e-011,0.1185555831,0.861
-0.1787256449,-0.1766646653,0,3.611738066e-006,2.64701157e-006,1.876979877e-005,-0.0004923304077,-1.10315897e-011,0.1189045012,0.871
-0.1787297428,-0.176660493,0,3.85939029e-006,2.892734074e-006,1.950413935e-005,-0.00053079176,-1.123539456e-011,0.1192954406,0.881
-0.1787340045,-0.1766561717,0,4.063075721e-006,3.093613941e-006,2.001429311e-005,-0.0005610927474,-1.142584465e-011,0.1197287142,0.891
-0.178738445,-0.1766517162,0,4.2215147e-006,3.248167786e-006,2.02822448e-005,-0.0005828868016,-1.160305532e-011,0.1202039942,0.901
-0.1787430495,-0.1766471118,0,4.334380719e-006,3.355865374e-006,2.029475399e-005,-0.0005960425478,-1.176707776e-011,0.1207202524,0.911
-0.1787478477,-0.1766423583,0,4.402257673e-006,3.417090738e-006,2.00439863e-005,-0.0006006436306,-1.19179536e-011,0.1212757751,0.921
-0.1787527949,-0.1766374856,0,4.426565738e-006,3.433078746e-006,1.952786442e-005,-0.000596973463,-1.205576351e-011,0.1218682602,0.931
-0.178757906,-0.1766324788,0,4.409475878e-006,3.405831649e-006,1.875016642e-005,-0.0005854918854,-1.218068528e-011,0.1224948615,0.941
-0.1787631661,-0.1766273677,0,4.3538098e-006,3.338024044e-006,1.77203201e-005,-0.0005668074591,-1.229303031e-011,0.1231523454,0.951
-0.1787685603,-0.1766221523,0,4.262927177e-006,3.232895779e-006,1.645297561e-005,-0.0005416482454,-1.239326784e-011,0.1238371208,0.961
-0.1787740886,-0.1766168475,0,4.140616056e-006,3.094144176e-006,1.496736058e-005,-0.0005108324694,-1.24820293e-011,0.124545373,0.971
-0.1787797213,-0.1766114831,0,3.990976438e-006,2.925814897e-006,1.328649523e-005,-0.0004752406676,-1.256008665e-011,0.1252731085,0.981
-0.1787854433,-0.176606074,0,3.818313871e-006,2.732198254e-006,1.143632471e-005,-0.0004357886792,-1.262831333e-011,0.1260162443,0.991
-0.1787912399,-0.1766006202,0,3.627040769e-006,2.517733265e-006,9.444784155e-006,-0.0003933802363,-1.268764521e-011,0.1267706901,1.001
-0.178797096,-0.1765951365,0,3.421743941e-006,2.28707222e-006,7.340249795e-006,-0.0003497639555,-1.273903292e-011,0.1275323778,1.011
-0.178802982,-0.1765896529,0,3.207132295e-006,2.045038173e-006,5.151961432e-006,-0.0003050601517,-1.278340281e-011,0.1282969266,1.021
-0.1788088977,-0.1765841842,0,2.987600055e-006,1.796204174e-006,2.90971775e-006,-0.0002601894375,-1.282163178e-011,0.1290599704,1.031
-0.1788148135,-0.1765787452,0,2.767304977e-006,1.544953761e-006,6.425906918e-007,-0.0002159808791,-1.285452647e-011,0.1298175454,1.041
-0.1788206995,-0.1765733361,0,2.550137197e-006,1.295446737e-006,-1.622236937e-006,-0.0001732007076,-1.288281547e-011,0.1305661052,1.051
-0.1788265556,-0.1765679717,0,2.339703542e-006,1.051597565e-006,-3.859821391e-006,-0.0001325767807,-1.290714931e-011,0.131302312,1.061
-0.1788323671,-0.1765626818,0,2.139323215e-006,8.170674732e-007,-6.047609986e-006,-9.479690198e-005,-1.292809609e-011,0.1320230663,1.071
-0.178838104,-0.1765574664,0,1.952034836e-006,5.952634865e-007,-8.165510735e-006,-6.050735101e-005,-1.294615023e-011,0.1327254474,1.081
-0.1788437665,-0.1765523404,0,1.780607931e-006,3.893439384e-007,-1.019589763e-005,-3.031409869e-005,-1.296173672e-011,0.1334066689,1.091
-0.1788493246,-0.1765473038,0,1.627560209e-006,2.02227838e-007,-1.212356256e-005,-4.787961643e-006,-1.297522072e-011,0.1340641379,1.101
-0.1788547635,-0.1765423715,0,1.495176548e-006,3.66064441e-008,-1.393571347e-005,1.552821959e-005,-1.298691189e-011,0.1346953362,1.111
-0.1788600832,-0.1765375584,0,1.385530936e-006,-1.050426022e-007,-1.562177204e-005,3.018704592e-005,-1.299707217e-011,0.1352980584,1.121
-0.1788652539,-0.1765328497,0,1.300533768e-006,-2.204139662e-007,-1.717249324e-005,4.087671914e-005,-1.300592533e-011,0.1358707845,1.131
-0.1788702905,-0.176528275,0,1.242351573e-006,-3.069601178e-007,-1.858120413e-005,4.135189738e-005,-1.301365873e-011,0.136410743,1.141
