"Car.CamberFL","Car.CamberFR","Car.SideSlipAngle","Car.SlipAngleFL","Car.SlipAngleFR","Car.YawRate","Car.ay","Driver.Steer.Ang","Driver.Steer.Trq","Time"
"C1","C1","C1","C1","C1","C1","C1","C1","C1","C1"
"rad","rad","rad","rad","rad","rad/s","m/s^2","rad","Nm","s"
-0.0915658623,-0.08969414979,0,-8.971003808e-006,-9.516157661e-006,-2.066583693e-005,0.00205610483,-9.423492802e-013,0.08046072721,0.541
-0.09156902879,-0.08969175816,0,-8.980545317e-006,-9.57777138e-006,-2.104065243e-005,0.002072673291,-1.113610614e-012,0.08069781959,0.551
-0.09157206118,-0.08968948573,0,-8.931972843e-006,-9.57849079e-006,-2.124154162e-005,0.002075708937,-1.305786534e-012,0.08089409024,0.561
-0.09157496691,-0.08968732506,0,-8.827832971e-006,-9.520304047e-006,-2.127656808e-005,0.002068057423,-1.519786792e-012,0.08105273545,0.571
-0.09157774597,-0.0896852538,0,-8.671064279e-006,-9.405693163e-006,-2.115168718e-005,0.002049594186,-1.756258333e-012,0.08117650449,0.581
-0.09158042073,-0.08968324959,0,-8.46497187e-006,-9.237669474e-006,-2.087207758e-005,0.002020407701,-2.015544632e-012,0.08126853406,0.591
-0.09158300608,-0.08968129009,0,-8.213139154e-006,-9.019685422e-006,-2.044200664e-005,0.0019807606,-2.297669e-012,0.08133241534,0.601
-0.09158551693,-0.08967936039,0,-7.919376912e-006,-8.755567251e-006,-1.98649177e-005,0.001931034145,-2.602309644e-012,0.08137192577,0.611
-0.09158797562,-0.08967743814,0,-7.587667824e-006,-8.449435882e-006,-1.914375207e-005,0.001871710876,-2.928778964e-012,0.0813908428,0.621
-0.09159038961,-0.08967550099,0,-7.222114164e-006,-8.105622328e-006,-1.828139284e-005,0.001803370891,-3.276018345e-012,0.08139286935,0.631
-0.0915927887,-0.08967352659,0,-6.826878689e-006,-7.728584023e-006,-1.728112147e-005,0.001726686489,-3.642604014e-012,0.08138156682,0.641
-0.09159517288,-0.08967150003,0,-6.406120519e-006,-7.322815236e-006,-1.614705252e-005,0.001642412273,-4.02677067e-012,0.08136030287,0.651
-0.09159757942,-0.08966940641,0,-5.963930107e-006,-6.892760211e-006,-1.488451835e-005,0.001551369671,-4.426449225e-012,0.08133220673,0.661
-0.09160000831,-0.0896672383,0,-5.504264209e-006,-6.442730864e-006,-1.350036473e-005,0.001454426907,-4.839317749e-012,0.08130014688,0.671
-0.09160247445,-0.08966496587,0,-5.030883131e-006,-5.97683038e-006,-1.200313545e-005,0.001352477353,-5.26286046e-012,0.08126669377,0.681
-0.09160499275,-0.08966259658,0,-4.547295703e-006,-5.498888186e-006,-1.040313236e-005,0.001246416708,-5.694432773e-012,0.08123406768,0.691
-0.09160757065,-0.08966011554,0,-4.056711987e-006,-5.012409019e-006,-8.712350791e-006,0.001137121581,-6.13132765e-012,0.08120417595,0.701
-0.0916102156,-0.08965752274,0,-3.562007578e-006,-4.520532912e-006,-6.944300821e-006,0.001025429927,-6.57083719e-012,0.0811785236,0.711
-0.09161294252,-0.08965481818,0,-3.065698138e-006,-4.026010174e-006,-5.11372491e-006,0.0009121238254,-7.010307265e-012,0.08115829527,0.721
-0.09161573648,-0.08965199441,0,-2.56992962e-006,-3.53119367e-006,-3.236250905e-006,0.0007979167858,-7.447186097e-012,0.08114430308,0.731
-0.09161861241,-0.08964905888,0,-2.076476449e-006,-3.038037903e-006,-1.328013354e-006,0.000683446764,-7.879057649e-012,0.08113702387,0.741
-0.09162157029,-0.08964601904,0,-1.586752319e-006,-2.54811448e-006,5.946731676e-007,0.0005692832638,-8.303669384e-012,0.08113660663,0.751
-0.09162460268,-0.0896428749,0,-1.101831344e-006,-2.062633484e-006,2.515618007e-006,0.0004558335349,-8.718948306e-012,0.08114291728,0.761
-0.09162770957,-0.08963964134,0,-6.224818208e-007,-1.582476557e-006,4.420879122e-006,0.0003434031096,-9.123009639e-012,0.08115553856,0.771
-0.09163087606,-0.08963631839,0,-1.491932409e-007,-1.108231345e-006,6.296979336e-006,0.0002325212263,-9.514171569e-012,0.08117381483,0.781
-0.09163410962,-0.08963293582,0,3.178363954e-007,-6.401820087e-007,8.130768038e-006,0.0001201246705,-9.890950906e-012,0.08119710535,0.791
-0.09163738787,-0.0896294862,0,7.787694472e-007,-1.782303798e-007,9.909457731e-006,1.166381026e-005,-1.025203273e-011,0.08122406155,0.801
-0.09164071828,-0.08962599188,0,1.233401917e-006,2.774118002e-007,1.162818353e-005,-0.000124023456,-1.059622962e-011,0.08125267923,0.811
-0.09164409339,-0.08962243795,0,1.676472834e-006,7.213328104e-007,1.328379403e-005,-0.000199540169,-1.092268723e-011,0.08128775656,0.821
-0.09164754301,-0.08961881697,0,2.100721986e-006,1.146048589e-006,1.48527788e-005,-0.000271678553,-1.12313752e-011,0.08134001493,0.831
-0.09165109694,-0.08961510658,0,2.499867833e-006,1.545301757e-006,1.631195482e-005,-0.0003388014447,-1.152277492e-011,0.08141791821,0.841
-0.09165476263,-0.08961129934,0,2.868349839e-006,1.913510687e-006,1.763661203e-005,-0.0004000525223,-1.179750655e-011,0.08152616769,0.851
-0.09165855497,-0.08960738033,0,3.201286745e-006,2.24570158e-006,1.880041782e-005,-0.000454723544,-1.205615816e-011,0.08166754246,0.861
-0.09166250378,-0.08960333467,0,3.494566499e-006,2.53762596e-006,1.977680949e-005,-0.0005021078396,-1.229921373e-011,0.08184394985,0.871
-0.09166660905,-0.08959914744,0,3.744957667e-006,2.785889365e-006,2.054065044e-005,-0.0005415487685,-1.252702195e-011,0.08205676079,0.881
-0.09167087823,-0.08959481865,0,3.950185601e-006,2.988034794e-006,2.106969623e-005,-0.0005725225201,-1.273980053e-011,0.08230683208,0.891
-0.09167532623,-0.08959035575,0,4.108960184e-006,3.142578407e-006,2.134578062e-005,-0.0005946970196,-1.293766223e-011,0.08259440958,0.901
-0.09167994559,-0.08958574384,0,4.220961728e-006,3.249003385e-006,2.135571594e-005,-0.0006079574232,-1.312066081e-011,0.08291909844,0.911
-0.09168474376,-0.08958099037,0,4.286795956e-006,3.307722636e-006,2.109192246e-005,-0.000612406875,-1.328884485e-011,0.0832798779,0.921
-0.09168970585,-0.08957611024,0,4.307924428e-006,3.320015139e-006,2.0552774e-005,-0.0006083513726,-1.344232104e-011,0.0836751461,0.931
-0.0916948244,-0.0895711109,0,4.286578132e-006,3.2879434e-006,1.974267434e-005,-0.0005962760188,-1.358130795e-011,0.08410277963,0.941
-0.09170009196,-0.08956599981,0,4.225652901e-006,3.214256822e-006,1.867182618e-005,-0.0005768169649,-1.370618202e-011,0.08456023037,0.951
-0.09170550108,-0.08956079185,0,4.128599812e-006,3.102284609e-006,1.735578553e-005,-0.0005507310852,-1.38175001e-011,0.08504460007,0.961
-0.09171103686,-0.08955549449,0,3.999311957e-006,2.955825494e-006,1.581477227e-005,-0.00051886664,-1.391599856e-011,0.08555269241,0.971
-0.09171667695,-0.08955013752,0,3.842004389e-006,2.779037914e-006,1.407287527e-005,-0.0004821342882,-1.40025656e-011,0.08608110994,0.981
-0.09172240645,-0.08954472095,0,3.661108167e-006,2.576333372e-006,1.215714383e-005,-0.0004414811556,-1.407819868e-011,0.08662632108,0.991
-0.09172821045,-0.08953927457,0,3.461165079e-006,2.352279125e-006,1.009666357e-005,-0.0003978654277,-1.414395597e-011,0.08718471974,1.001
-0.09173408151,-0.08953380585,0,3.246899496e-006,2.111664571e-006,7.921293218e-006,-0.0003530588583,-1.420090781e-011,0.08775265515,1.011
-0.09173998237,-0.08952832222,0,3.023160843e-006,1.859453619e-006,5.661357136e-006,-0.0003071612737,-1.425009069e-011,0.08832626045,1.021
-0.09174590558,-0.08952286094,0,2.794476131e-006,1.600356427e-006,3.347411166e-006,-0.0002610892116,-1.429248039e-011,0.08890159428,1.031
-0.09175182879,-0.08951741457,0,2.56513249e-006,1.338893071e-006,1.009233529e-006,-0.0002157825802,-1.432897377e-011,0.08947502822,1.041
-0.0917577371,-0.0895120129,0,2.339143521e-006,1.079356366e-006,-1.324808295e-006,-0.0001720163418,-1.436037747e-011,0.09004320949,1.051
-0.09176360816,-0.08950665593,0,2.12023042e-006,8.257886748e-007,-3.628725835e-006,-0.0001305284677,-1.438740967e-011,0.09060298651,1.061
-0.09176942706,-0.08950137347,0,1.911818117e-006,5.819716762e-007,-5.879096989e-006,-9.201825742e-005,-1.441069833e-011,0.0911513865,1.071
-0.09177518636,-0.08949615806,0,1.717040163e-006,3.514253706e-007,-8.055114449e-006,-5.714577128e-005,-1.443078816e-011,0.09168559313,1.081
-0.0917808488,-0.08949102461,0,1.538750325e-006,1.374118597e-007,-1.013860492e-005,-2.653793308e-005,-1.444814927e-011,0.09220292419,1.091
-0.09178642184,-0.08948598802,0,1.379538162e-006,-5.705766526e-008,-1.211413746e-005,-7.862176972e-007,-1.446318152e-011,0.09270079434,1.101
-0.09179188311,-0.08948105574,0,1.241755854e-006,-2.292044314e-007,-1.39682179e-005,1.972033897e-005,-1.447622838e-011,0.0931776166,1.111
-0.09179721028,-0.08947622776,0,1.127543669e-006,-3.764622818e-007,-1.568929838e-005,3.441772424e-005,-1.448757867e-011,0.09363126755,1.121
-0.09180240333,-0.08947152644,0,1.038858159e-006,-4.964578579e-007,-1.726839218e-005,4.486767284e-005,-1.449747874e-011,0.09405911714,1.131
-0.09180743992,-0.08946694434,0,9.779104175e-007,-5.865791195e-007,-1.869890548e-005,4.490771607e-005,-1.450613588e-011,0.0944590047,1.141
-0.0918123126,-0.08946248889,0,9.466967299e-007,-6.444305996e-007,-1.997476829e-005,3.780750922e-005,-1.451372442e-011,0.09482842684,1.151
-0.09181700647,-0.08945818245,0,9.468929534e-007,-6.67959398e-007,-2.109153684e-005,2.312514698e-005,-1.452039183e-011,0.09516494721,1.161
-0.09182149917,-0.08945402503,0,9.79983156e-007,-6.553385674e-007,-2.204652264e-005,5.262783134e-007,-1.452625954e-011,0.09546644986,1.171
-0.09182578325,-0.08945002407,0,1.047275873e-006,-6.049532431e-007,-2.28386798e-005,-3.027093226e-005,-1.453143248e-011,0.09573100507,1.181
-0.09182985127,-0.08944618702,0,1.150033881e-006,-5.1526996e-007,-2.346891961e-005,-7.062800432e-005,-1.453599827e-011,0.09595675021,1.191
-0.09183368087,-0.08944252878,0,1.289697934e-006,-3.845955234e-007,-2.393983777e-005,-0.0001146259601,-1.454003064e-011,0.09614154696,1.201
-0.09183725715,-0.08943905681,0,1.468153073e-006,-2.107924502e-007,-2.425657112e-005,-0.0001772552641,-1.454359116e-011,0.09628264606,1.211
-0.09184055775,-0.08943579346,0,1.687190547e-006,8.171642918e-009,-2.442426194e-005,-0.0002488838509,-1.454673274e-011,0.09637603164,1.221
-0.09184356779,-0.08943273872,0,1.948078989e-006,2.737269824e-007,-2.444935672e-005,-0.0003298193915,-1.454949876e-011,0.0964184925,1.231
-0.09184627235,-0.08942991495,0,2.25177655e-006,5.869381425e-007,-2.434004455e-005,-0.000420033728,-1.455192564e-011,0.09640823305,1.241
-0.09184864908,-0.0894273445,0,2.598970013e-006,9.485392525e-007,-2.410813249e-005,-0.0005195413833,-1.45540472e-011,0.09634204954,1.251
-0.09185067564,-0.08942503482,0,2.990111852e-006,1.358975624e-006,-2.376880002e-005,-0.0006281914539,-1.455589295e-011,0.09621813893,1.261
